File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\DITest.java,1325,576,453,296,529,357,202,15,118,6,92,3,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IModel.java,44,24,11,7,0,34,3,0,0,0,6,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IPresenter.java,128,70,34,23,0,102,13,0,3,2,7,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IService.java,73,40,19,13,0,59,5,0,1,0,6,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IView.java,73,40,19,13,0,59,5,0,1,0,6,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\LocMetrics.html,2,2,0,0,0,0,0,0,0,0,2,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\LocMetricsFunctions.html,2,2,0,0,0,0,0,0,0,0,2,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Model.java,54,29,14,9,0,42,5,0,0,0,6,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\ModelFactory.java,136,70,39,26,5,85,24,0,6,0,16,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter.java,188,97,54,36,5,127,30,0,10,0,15,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_CDI.java,217,113,62,41,5,153,33,0,7,0,18,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_IDI.java,258,135,74,49,5,178,41,0,10,0,24,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_SDI.java,249,129,71,48,5,170,40,0,10,0,24,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_SL.java,243,128,69,45,5,178,29,0,14,0,16,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Service.java,86,46,23,15,0,68,8,0,1,0,9,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\ServiceFactory.java,136,70,39,26,5,85,24,0,6,0,16,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\View.java,86,46,23,15,0,68,8,0,1,0,9,0,
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\ViewFactory.java,136,70,39,26,5,85,24,0,6,0,16,0,

Entire Project Time,=SUM(B2:B19),=SUM(C2:C19),=SUM(D2:D19),=SUM(E2:E19),=SUM(F2:F19),=SUM(G2:G19),=SUM(H2:H19),=SUM(I2:I19),=SUM(J2:J19),=SUM(K2:K19),=SUM(L2:L19),=SUM(M2:M19),
